Team,Conference,Record,Wins,Games,Seed,AdjO,AdjD,AdjEM,Barthag,Adj_T,eFG%,Opp_eFG%,TO%,Opp_TO%,OR%,DR%,Opp_OR%,FTR,Opp_FTR,FT%,2P%,2P_%_D,3P%,3P_%_D,3P_Rate,3P_Rate_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,SOS,Elite_SOS,WAB,Torvik_Rank,NET_Rank,Massey_Rank,CompRank,TRank_Early,RankTrajectory,AP_Poll_Rank,Luck,Coach_Tourney_Experience,Program_Prestige,Quad1_Wins,Last_10_Games_Metric,Conf_Tourney_Champion,Won_Play_In,Star_Player_Index,Exp,Bench_Minutes_Pct
Idaho,BSky,21-14,21,35,15.0,108.82946318591368,106.18991517251764,2.6395480133960376,0.570124466244957,67.4241819620705,51.9,50.3,15.0,15.2,28.9,75.8,24.2,34.8,39.2,69.2,52.0,49.3,34.5,34.8,46.8,35.8,6.2,9.1,44.5,45.6,196,0.8776529902263706,-8.863391603823928,136,145.0,164,136.0,160,24,26,0.0299,3,2.0,0.0,0.5,1.0,0,4.8,2.008,15.1
Troy,SB,22-11,22,33,13.0,110.72249535932266,109.04425878428393,1.6782365750387385,0.5437978691264171,65.084085396929,51.9,50.1,17.0,16.9,34.8,68.4,31.6,36.3,32.1,67.0,53.7,52.0,33.2,31.3,45.6,38.4,9.1,11.0,57.0,49.3,224,0.8790949659295082,-6.153640489226201,142,125.0,129,142.0,134,-8,26,0.1229,3,2.0,1.0,0.7,1.0,0,5.2,1.897,10.3
Kennesaw St.,CUSA,21-13,21,34,14.0,110.79975045507,109.50055331196702,1.2991971431029723,0.5338584977572647,71.26667869663312,50.7,48.5,16.7,16.1,35.5,68.7,31.3,45.1,47.5,71.9,50.8,47.0,33.7,33.9,42.9,38.3,14.7,13.1,51.3,49.4,204,0.8776395711852272,-7.979987063198311,145,161.0,134,145.0,180,35,26,0.0838,3,2.0,0.0,0.6,1.0,0,5.1,1.297,22.3
Penn,Ivy,18-11,18,29,14.0,106.5759815772507,105.41417221950016,1.161809357750542,0.5314714574210969,69.02427516446134,50.3,51.7,15.4,17.8,30.3,69.5,30.5,35.2,27.5,68.8,46.2,54.4,38.7,31.7,35.0,39.3,8.5,9.4,52.7,53.8,155,0.8535004276245739,-6.002022113460408,147,150.0,145,147.0,171,24,26,0.0892,5,2.0,0.0,0.9,1.0,0,7.0,1.869,18.4
UMBC,AE,24-8,24,32,16.0,107.568859946595,109.2440972710758,-1.675237324480804,0.4556874579478566,66.00705847646276,53.9,49.2,14.1,15.2,25.1,74.4,25.6,33.8,25.2,66.4,54.0,49.7,35.9,32.2,38.8,37.8,6.5,6.5,45.0,42.8,364,0.9315871725598328,-5.114989665095168,185,202.0,207,185.0,235,50,26,0.2943,3,2.0,0.0,1.0,1.0,0,4.9,2.082,14.2
Siena,MAAC,23-11,23,34,16.0,107.25094661434976,108.94841557223803,-1.697468957888276,0.4549757799335444,64.63036549362391,50.6,48.6,16.0,17.1,31.9,71.0,29.0,34.2,27.2,64.3,52.8,48.2,30.4,32.8,31.9,39.3,9.1,9.6,53.0,48.3,333,0.9093153867895972,-7.773869057200597,186,182.0,201,186.0,198,12,26,0.2215,3,2.0,0.0,0.7,1.0,0,5.0,1.725,10.7
Furman,SC,22-12,22,34,15.0,106.8966117277042,109.00322170503932,-2.106609977335125,0.4441277773879366,65.84093311010186,54.8,50.1,17.8,13.7,31.0,72.5,27.5,32.1,28.9,66.5,59.0,50.9,33.3,32.6,46.3,41.9,9.4,10.8,55.8,46.8,315,0.91504632307553,-8.734134471822484,194,186.0,152,194.0,189,-5,26,0.2029,3,2.0,0.0,0.6,1.0,0,5.4,1.607,15.3
Queens,ASun,21-13,21,34,15.0,114.63228556806592,117.0823488001596,-2.450063232093669,0.4394973218489222,69.5022342323596,56.6,54.0,14.8,15.0,30.4,67.0,33.0,36.3,38.7,70.7,59.0,54.1,35.9,35.8,46.8,39.5,8.0,9.1,54.5,48.0,252,0.8413912702700368,-6.966910922804779,198,190.0,184,198.0,205,7,26,0.1781,3,2.0,0.0,0.6,1.0,0,5.3,1.734,12.0
Howard,MEAC,23-10,23,33,16.0,103.4439478028701,106.230683620765,-2.7867358178949075,0.4241633103615799,69.04793120520861,50.6,47.4,19.8,21.3,36.6,68.0,32.0,44.2,38.3,69.2,49.9,48.3,34.7,30.4,34.3,34.0,10.6,11.1,61.1,46.9,365,0.9240438951595108,-6.866335368876277,206,201.0,245,206.0,229,23,26,0.2728,3,2.0,0.0,0.7,1.0,0,4.7,1.89,15.1
Tennessee St.,OVC,23-9,23,32,15.0,107.80850437789634,111.93587914179172,-4.127374763895375,0.3936366732165107,70.13661898234609,50.1,51.2,16.5,20.0,34.9,70.1,29.9,33.5,41.6,70.6,49.9,51.8,33.7,33.5,30.7,36.0,10.1,7.5,45.4,49.7,351,0.9002450986445982,-5.653691062005303,218,173.0,185,218.0,286,68,26,0.3251,3,2.0,0.0,0.8,1.0,0,4.8,2.506,14.3
LIU,NEC,24-10,24,34,16.0,103.64388923203782,109.75323407848784,-6.109344846450014,0.3410436466932572,67.82892643432108,53.3,49.8,19.0,18.9,34.3,67.4,32.6,34.7,34.1,68.1,52.9,50.8,36.1,31.9,29.0,33.2,13.9,8.1,49.7,49.2,329,0.8821666147182792,-5.772619175019196,234,197.0,225,234.0,230,-4,26,0.3648,3,2.0,0.0,0.8,1.0,0,4.6,2.414,11.5
Prairie View A&M,SWAC,18-17,18,35,16.0,101.42064204704968,111.39828917057062,-9.97764712352094,0.2536751816489541,70.86896997262694,47.9,50.4,16.0,19.1,27.1,65.2,34.8,42.8,43.9,72.8,47.0,49.4,33.2,35.0,30.9,32.7,12.2,8.2,44.2,48.5,334,0.904920607890605,-12.556971354603329,281,305.0,309,281.0,325,44,26,0.2606,3,2.0,0.0,0.5,1.0,0,4.5,2.801,15.9
Lehigh,Pat,18-16,18,34,16.0,102.57586142933536,112.76923813377309,-10.193376704437725,0.2517084935075471,66.86898816344844,53.3,50.6,17.5,16.3,22.8,68.3,31.7,32.2,32.8,66.5,52.4,51.2,36.5,32.8,38.2,32.2,7.8,7.7,54.3,45.3,325,0.9122980991168111,-12.038645405208388,283,276.0,283,283.0,298,15,26,0.2777,3,2.0,0.0,0.5,1.0,0,4.9,1.368,14.9
