Team,Conference,Record,Wins,Games,Seed,AdjO,AdjD,AdjEM,Barthag,Adj_T,eFG%,Opp_eFG%,TO%,Opp_TO%,OR%,DR%,Opp_OR%,FTR,Opp_FTR,FT%,2P%,2P_%_D,3P%,3P_%_D,3P_Rate,3P_Rate_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,SOS,Elite_SOS,WAB,Torvik_Rank,NET_Rank,Massey_Rank,CompRank,TRank_Early,RankTrajectory,AP_Poll_Rank,Luck,Coach_Tourney_Experience,Program_Prestige,Quad1_Wins,Last_10_Games_Metric,Conf_Tourney_Champion,Won_Play_In,Star_Player_Index,Exp,Bench_Minutes_Pct
Virginia,ACC,29-5,29,34,3.0,122.24772497011595,95.828630398865,26.41909457125095,0.9426818899043108,65.57763983291127,54.6,45.3,16.0,15.6,37.9,70.8,29.2,33.0,33.0,66.5,55.2,44.7,35.9,30.9,46.5,37.5,17.5,9.6,59.1,50.3,67,0.6990198247610461,7.758141913488133,14,12.0,19,14.0,18,4,10,-0.0897,3.5,7.0,8.0,0.9,0.0,0,7.0,1.724,17.4
St. John's,BE,28-6,28,34,5.0,119.8360168490785,94.12447942074596,25.711537428332548,0.9414378888713262,69.60376018997675,51.0,47.4,14.7,19.4,35.9,69.8,30.2,41.9,31.8,71.0,51.6,47.5,33.2,31.3,33.8,33.7,12.4,9.5,58.2,47.2,22,0.6894166812353784,7.256444968044674,15,20.0,10,15.0,21,6,13,-0.1179,10,2.0,5.0,1.0,1.0,0,8.0,2.3,13.4
Tennessee,SEC,22-11,22,33,6.0,121.5069174372959,95.53605050874503,25.970866928550866,0.9407759081269592,65.22477844539156,51.6,47.7,17.1,16.3,45.1,72.1,27.9,38.7,36.2,67.3,52.2,49.2,33.4,30.6,31.7,44.4,11.3,9.4,59.8,45.4,20,0.6144451181756679,4.117973274685944,16,19.0,17,16.0,16,0,25,-0.2741,5,7.0,6.0,0.7,0.0,0,7.0,1.473,20.6
Louisville,ACC,23-10,23,33,6.0,124.03430082151512,98.16619405303236,25.86810676848276,0.9364224827138048,69.71230724985458,56.4,48.8,16.4,16.7,32.9,73.1,26.9,33.5,33.4,71.0,59.7,48.6,35.7,32.7,52.8,39.1,9.2,12.4,59.5,48.3,38,0.6472949054323092,3.996000928406248,17,15.0,26,17.0,14,-3,24,-0.2395,3.5,2.0,7.0,0.6,0.0,0,7.0,2.208,18.7
Alabama,SEC,23-9,23,32,4.0,129.4991228922421,102.7881132699872,26.71100962225489,0.9344135811196724,73.05923674304215,55.4,49.2,13.0,12.6,31.8,67.2,32.8,37.2,32.7,74.6,57.3,48.6,35.8,33.5,53.7,35.1,11.3,12.1,53.5,46.7,2,0.5987102877084904,6.546159730120388,18,17.0,11,18.0,19,1,15,-0.2157,5,2.0,7.0,0.9,0.0,0,8.0,1.526,20.0
Arkansas,SEC,26-8,26,34,4.0,127.94397173612164,101.67114309335729,26.272828642764352,0.9335945240705558,70.97427124123527,56.5,51.4,12.3,15.7,32.2,68.8,31.2,36.4,31.3,72.4,55.6,53.7,38.9,31.7,33.4,38.2,12.9,6.7,53.0,49.8,11,0.6226122044949824,7.537250472613522,19,16.0,12,19.0,20,1,17,-0.1689,10,6.0,7.0,0.8,1.0,0,9.0,1.457,9.8
Nebraska,B10,26-6,26,32,4.0,117.2538878569014,93.48342011306744,23.77046774383396,0.9312090054022388,66.82093045578033,55.4,47.8,14.4,19.2,26.3,72.3,27.7,27.2,24.8,67.3,58.1,50.6,35.3,29.9,50.7,49.3,8.7,9.3,65.6,60.5,51,0.6542422950171931,7.452335200536481,20,13.0,16,20.0,12,-8,11,-0.1187,3,2.0,9.0,0.8,0.0,0,7.0,2.26,7.6
Wisconsin,B10,24-10,24,34,5.0,127.17617855394414,101.64124877395804,25.5349297799861,0.9293944834911642,68.69395616975298,54.5,51.3,12.8,14.4,29.4,71.8,28.2,31.9,30.5,68.9,54.8,52.3,36.1,33.3,52.6,40.2,8.5,12.5,57.3,50.6,19,0.6232908797470189,5.374155693424257,21,25.0,21,21.0,23,2,23,-0.2235,4,2.0,9.0,0.6,0.0,0,7.0,1.871,14.1
Kansas,B12,23-10,23,33,4.0,117.86865930972668,94.38278244536517,23.485876864361515,0.9279382117979909,67.6096555724268,51.6,45.2,15.5,14.0,29.5,69.9,30.1,32.6,27.7,68.2,51.1,44.7,35.0,30.7,35.7,42.0,15.6,8.3,53.3,48.0,3,0.5899481138154892,6.259280128342964,22,21.0,18,22.0,13,-9,14,-0.231,10,10.0,9.0,0.5,0.0,0,9.0,1.629,11.8
Ohio St.,B10,21-12,21,33,8.0,125.2171892870942,101.60783116142892,23.60935812566528,0.9170318217012337,66.16146682769845,56.5,50.3,15.4,15.8,30.8,70.0,30.0,37.8,35.1,66.6,58.2,52.3,36.0,31.6,40.1,40.3,7.0,8.8,52.0,53.4,24,0.6217898230360176,2.887371458107152,23,30.0,27,23.0,38,15,26,-0.2807,3,2.0,4.0,0.6,0.0,0,7.0,1.779,15.6
UCLA,B10,23-11,23,34,7.0,124.51822223155888,101.76067566642436,22.75754656513452,0.9106034796465028,64.68768853525523,53.9,50.4,13.4,18.1,31.1,67.6,32.4,33.1,34.7,65.7,52.0,52.7,38.2,31.8,35.9,44.7,9.4,8.1,59.4,63.3,33,0.6384020293349876,3.6127974210664897,24,31.0,25,24.0,39,15,26,-0.2341,5,8.0,5.0,0.8,0.0,0,7.5,2.244,14.9
Saint Mary's,WCC,27-5,27,32,7.0,119.3889951284907,97.5855066343936,21.80348849409711,0.910443937966688,65.30213914311945,52.9,46.7,16.4,15.2,37.6,76.2,23.8,35.8,25.7,66.4,50.2,46.6,38.6,31.2,36.1,36.8,9.7,8.9,58.0,52.7,90,0.7733821359638497,4.00441494951948,25,22.0,28,25.0,33,8,21,-0.0667,5,2.0,1.0,0.8,0.0,0,7.0,1.349,11.2
Iowa,B10,21-12,21,33,9.0,122.13067319746288,100.19089336085776,21.93977983660513,0.9069680321337468,63.027100530741095,56.6,52.7,15.2,21.0,30.1,72.0,28.0,34.5,39.1,63.4,58.7,54.0,35.7,33.7,41.6,39.1,6.7,8.3,58.0,51.0,52,0.641231377660449,1.9453254932803272,26,26.0,33,26.0,27,1,26,-0.2706,3,2.0,4.0,0.5,0.0,0,7.0,1.776,13.9
North Carolina,ACC,24-8,24,32,6.0,121.46775031421409,100.053192258073,21.41455805614109,0.902945415377297,67.98560805753611,54.6,48.2,14.0,13.6,31.4,71.9,28.1,37.4,23.8,68.8,56.7,46.1,34.5,34.5,42.3,36.9,8.6,9.0,57.0,48.1,45,0.6646116412084572,4.920582516335669,27,24.0,24,27.0,25,-2,19,-0.1529,5,9.0,6.0,0.8,0.0,0,8.0,1.523,17.4
Santa Clara,WCC,26-8,26,34,10.0,124.99642288371064,103.71183475421172,21.28458812949892,0.89535926999318,69.25742380217886,54.6,51.8,15.6,20.1,36.7,67.7,32.3,25.8,38.3,69.6,56.5,53.2,34.9,33.0,45.0,38.2,10.6,8.4,55.0,60.5,89,0.7587711149911627,2.1382880994085305,28,40.0,40,28.0,35,7,26,-0.1307,4,2.0,2.0,0.8,0.0,0,6.2,1.435,17.1
Utah St.,MWC,28-6,28,34,9.0,123.02906688062426,102.0858683474044,20.943198533219856,0.8952918581982402,67.55370639809594,56.6,49.6,15.4,20.6,33.1,67.8,32.2,38.7,38.9,68.3,59.3,48.7,35.1,33.9,40.7,40.9,8.8,9.9,59.8,49.6,78,0.7699689714084363,3.989063529368197,29,27.0,30,29.0,28,-1,26,-0.0718,3,2.0,3.0,0.8,1.0,0,7.0,2.185,19.8
Clemson,ACC,24-10,24,34,8.0,116.541487882331,96.95489530989052,19.58659257244048,0.8924502016649227,64.27331427615292,52.6,48.9,14.2,17.5,28.1,74.3,25.7,37.1,33.1,65.5,53.8,49.0,34.1,32.6,42.9,42.9,9.1,10.3,50.2,46.4,61,0.678770969868467,3.1718669000883644,30,34.0,32,30.0,26,-4,26,-0.1866,4,2.0,6.0,0.6,0.0,0,6.8,2.344,18.9
Kentucky,SEC,21-13,21,34,7.0,119.9107388158162,99.98566564901633,19.92507316679988,0.8899067640842462,68.31926791640589,53.1,48.8,15.0,15.8,33.8,69.9,30.1,37.5,37.0,69.8,54.4,49.6,34.1,31.6,39.2,39.5,12.3,8.7,57.0,55.2,17,0.5897604970120065,3.29043592212833,31,28.0,23,31.0,40,9,26,-0.2723,3.5,10.0,5.0,0.4,0.0,0,7.0,1.581,20.0
BYU,B12,23-11,23,34,6.0,124.74575041830984,104.32572450991044,20.4200259083994,0.8865259808617895,69.7791356811537,54.7,51.2,15.3,16.5,34.6,70.7,29.3,34.2,28.9,70.4,56.2,50.0,34.9,35.3,39.8,39.2,11.9,7.9,45.4,54.3,8,0.6176587161559278,4.538079923157684,33,23.0,22,33.0,31,-2,26,-0.2101,3.5,2.0,7.0,0.6,0.0,0,10.0,1.463,16.6
Miami FL,ACC,25-8,25,33,7.0,121.07720391394818,101.46562417153982,19.611579742408367,0.8841310791804665,67.92965806895972,55.6,51.7,16.2,18.4,37.0,73.7,26.3,37.5,29.0,69.3,57.2,50.8,34.7,35.4,31.7,40.9,10.0,10.2,53.7,54.3,79,0.703868613651676,3.848109487753705,35,32.0,37,35.0,43,8,26,-0.1266,3,2.0,6.0,0.7,0.0,0,7.0,1.67,10.7
Villanova,BE,24-8,24,32,8.0,119.61168901030304,100.53854965759588,19.07313935270716,0.880550899516825,64.9463968021141,53.7,51.3,15.1,18.7,32.4,68.3,31.7,31.3,28.9,66.5,54.4,51.5,35.3,33.9,45.7,36.9,6.0,7.5,56.8,53.7,42,0.6931396371597561,3.937059955922287,36,35.0,31,36.0,29,-7,26,-0.1306,4.5,8.0,2.0,0.7,0.0,0,6.5,1.548,8.8
Georgia,SEC,22-10,22,32,8.0,124.3173175934922,104.76044808933348,19.55686950415873,0.8774339536651152,72.02594121399021,54.6,50.1,14.3,18.4,35.2,65.1,34.9,37.0,30.8,73.5,57.3,49.9,34.1,33.7,43.9,37.6,15.1,9.6,48.4,47.3,72,0.6737118824596058,2.6022566652420007,37,33.0,34,37.0,46,9,26,-0.1899,3,2.0,6.0,0.7,0.0,0,6.3,1.553,22.6
N.C. State,ACC,20-13,20,33,11.0,124.07921540330656,104.63475838872576,19.44445701458081,0.8765449225525662,69.0919221132396,55.3,53.0,13.1,18.2,28.5,69.7,30.3,35.2,36.5,69.6,53.1,52.7,38.8,35.6,43.9,45.3,10.6,9.3,54.8,49.4,29,0.6702627705273025,0.3362098216793452,38,36.0,43,38.0,30,-8,26,-0.2705,3,2.0,5.0,0.3,0.0,0,6.1,2.189,13.9
